ctrgcn_jm_3d,ctrgcn_b_3d,ctrgcn_j_3d,ctrgcn_j_3d_resample,ctrgcn_j_3d_resample_rotate,ctrgcn_b_2d,ctrgcn_j_2d,ctrgcn_bm_2d,ctrgcn_jm_2d,tdgcn_j_2d,blockgcn_j_3d,blockgcn_jm_3d,blockgcn_b_3d,blockgcn_bm_3d,ctrgcn_b_3d_resample_rotate,degcn_J_3d,degcn_B_3d,former_bm_r_w_2d,former_bm_2d,former_j_2d,former_j_3d,former_b_3d,former_j_3d_resample_rotate,former_jm_2d,former_b_3d_resample_rotate,skateformer_j_3d,true
16,16,16,16,16,15,37,15,16,15,16,16,16,5,16,16,16,16,64,16,16,16,16,16,16,16,16
17,17,17,17,17,17,17,17,17,17,17,17,17,5,17,17,5,17,17,17,17,5,5,17,17,17,17
33,18,18,18,18,25,25,47,25,25,18,47,18,47,18,18,18,57,33,25,18,18,18,57,18,18,18
19,19,17,129,19,19,19,116,115,19,129,19,19,140,19,19,140,115,115,19,19,19,19,115,140,19,19
66,66,20,66,20,66,20,20,20,59,20,20,20,20,66,66,66,20,20,20,20,20,22,20,20,66,20
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
22,22,22,66,22,22,23,22,22,22,22,22,22,22,22,22,22,23,22,22,22,22,22,23,22,22,22
23,23,23,23,23,103,58,58,23,103,23,23,23,23,23,23,23,112,143,58,23,23,23,112,23,23,23
24,36,24,36,118,24,20,56,24,36,36,47,24,36,36,24,24,24,127,20,24,36,36,24,24,24,24
25,48,25,10,10,25,25,25,28,25,25,25,25,28,10,25,25,28,28,25,8,8,25,28,25,25,25
116,115,116,116,116,117,117,117,116,116,116,116,115,5,115,116,116,117,115,116,116,26,116,117,116,26,26
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
28,8,8,28,8,8,8,8,109,25,28,8,8,8,8,48,8,10,72,48,8,8,28,10,8,28,28
29,29,29,29,29,29,29,29,29,29,15,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
31,31,31,31,31,31,19,31,31,31,31,31,31,43,31,31,31,31,72,31,31,31,31,31,31,31,31
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,33,32,32,32,32,32,32,32,32
33,33,33,33,33,33,8,28,8,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
1,35,1,153,34,36,109,44,34,109,125,1,34,43,0,1,35,69,1,64,0,0,64,69,44,34,34
34,35,35,35,35,9,9,10,9,9,35,1,35,35,34,35,35,9,9,9,1,1,35,9,1,34,35
36,36,36,36,36,36,40,36,40,36,36,36,36,36,36,36,36,40,36,40,36,36,62,40,36,36,36
37,37,39,39,37,31,0,37,39,39,39,37,37,39,39,37,37,37,144,31,64,70,37,37,39,39,37
39,39,40,39,39,39,39,39,39,39,31,39,39,39,38,39,39,31,72,39,39,39,39,31,38,26,38
37,39,39,39,39,37,39,31,69,39,39,37,39,117,39,39,39,31,24,39,31,39,39,31,117,39,39
41,118,40,40,40,40,118,39,117,39,40,39,40,43,118,40,40,31,117,40,118,64,118,31,118,118,40
36,40,118,24,118,43,118,10,108,58,118,36,118,47,118,118,118,24,27,102,118,36,118,24,118,118,41
115,42,42,140,42,117,117,107,113,117,42,39,42,42,118,42,42,116,107,118,118,42,38,116,140,118,42
43,118,118,43,118,118,103,1,9,103,118,43,118,43,118,118,118,31,103,103,118,118,118,31,118,118,43
144,44,44,44,42,44,44,44,44,44,44,144,44,47,44,44,44,69,112,1,44,42,44,69,44,44,44
108,108,108,108,108,108,108,108,108,108,108,24,108,108,108,108,47,108,102,108,108,108,108,108,108,108,45
29,46,46,29,51,29,29,29,29,71,46,46,50,141,46,50,46,29,54,29,53,51,50,29,46,46,46
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
28,8,8,28,8,8,8,102,8,10,8,8,8,8,8,8,8,8,48,10,8,8,8,8,8,8,48
65,141,29,65,29,142,29,142,4,71,67,36,29,147,29,29,29,6,121,142,29,65,29,6,4,29,49
29,50,29,29,29,15,15,29,64,29,29,29,29,60,29,29,29,62,29,13,29,50,50,62,13,29,50
122,71,29,71,71,51,71,71,71,71,29,29,29,51,122,71,50,51,153,71,29,71,71,51,71,128,51
71,142,49,71,71,126,154,136,52,153,54,54,54,66,4,52,54,136,27,52,54,4,49,136,138,151,52
124,141,71,71,71,46,66,71,128,29,29,46,124,141,46,29,141,136,142,71,141,64,116,136,128,124,53
121,121,126,66,153,121,121,136,138,136,29,66,121,66,121,149,138,136,125,121,50,153,121,136,121,54,54
99,55,110,110,110,100,114,110,110,110,110,110,110,113,110,110,110,110,110,110,110,110,110,110,110,110,55
113,56,56,56,56,56,56,56,56,56,56,99,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
8,48,8,33,57,48,48,28,8,28,48,8,57,8,8,8,8,100,56,8,8,8,8,100,8,8,57
108,103,103,103,103,103,103,109,102,58,109,109,109,109,103,58,109,109,102,103,103,103,103,109,109,109,58
58,59,59,59,59,59,59,59,59,59,59,59,59,59,103,59,59,59,23,59,59,59,103,59,59,59,59
60,60,60,60,60,61,61,61,61,60,60,60,60,60,61,60,61,54,61,61,7,61,60,54,60,60,60
66,66,22,20,66,23,23,66,149,66,22,60,22,60,61,121,61,150,66,20,20,61,61,150,20,61,61
14,17,14,5,14,43,64,64,31,109,21,5,64,5,14,5,17,72,72,39,5,0,5,72,17,14,62
3,7,29,7,7,121,7,7,7,7,54,7,63,60,29,29,7,23,7,20,7,7,64,23,7,7,63
63,64,64,140,5,35,41,17,17,17,64,64,64,109,64,64,64,41,38,16,7,64,64,41,7,64,64
37,24,24,36,24,39,0,34,108,68,24,24,64,125,24,64,24,108,58,118,24,64,36,108,118,64,65
61,66,67,71,66,121,69,66,66,65,125,66,63,66,4,121,152,23,21,3,29,64,23,23,66,29,66
37,111,111,111,111,102,111,144,69,139,111,37,111,111,111,111,111,144,144,144,111,111,111,144,111,111,67
63,36,45,62,68,29,36,54,64,63,68,125,125,41,153,0,24,66,20,63,68,68,68,66,68,68,68
144,67,34,67,18,18,69,18,56,18,67,144,67,144,18,67,67,34,144,18,18,18,47,34,70,101,69
31,42,111,111,111,102,102,56,109,42,111,111,111,42,139,111,111,109,102,102,47,47,111,109,37,111,70
128,18,71,67,69,144,18,24,15,144,69,68,67,141,29,67,67,37,144,69,69,67,34,37,145,138,71
58,47,102,58,102,102,102,42,58,102,102,102,102,109,102,47,102,59,144,102,118,47,102,59,102,102,72
8,42,102,47,47,47,47,28,28,47,42,102,47,47,42,102,47,100,111,47,18,18,102,100,18,102,73
99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,111,100,100,100,100,100,100,100,100
101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,113,101,101,101,101,101,101,101
102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
103,103,103,103,103,103,103,103,58,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,99,112,104,104,104,104,99,104,104,104
105,105,105,105,105,105,105,105,106,106,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106
107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,114,107,107,107,107,107,107,107,107
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,104,104,108,108,108,108,104,108,108,108
103,103,103,103,103,103,103,103,126,103,109,109,103,109,103,103,103,126,126,103,103,103,109,126,103,103,109
110,110,110,110,110,110,55,110,110,26,110,110,110,110,110,110,110,110,55,110,110,110,110,110,55,110,110
111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111
112,112,112,112,112,119,119,119,112,112,112,112,112,112,112,112,112,112,112,119,112,112,112,112,112,112,112
113,113,113,113,113,113,114,120,120,114,113,113,113,113,113,113,113,113,114,114,113,113,113,113,113,113,113
114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114
115,116,116,116,116,115,116,115,115,115,116,115,115,115,116,116,116,115,115,116,116,116,116,115,116,116,115
115,116,116,116,116,115,115,115,115,115,116,115,116,39,116,116,116,115,115,116,116,39,116,115,116,116,116
117,117,117,117,117,117,117,117,116,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117
118,118,118,118,118,118,118,118,43,118,118,118,118,118,118,118,118,72,118,118,118,118,118,72,118,118,118
119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
68,63,45,62,62,8,8,8,54,8,36,1,1,44,62,62,62,10,141,8,65,65,62,10,20,1,0
53,1,1,1,1,10,10,10,141,54,1,1,1,9,1,1,1,127,60,10,25,1,10,127,1,1,1
25,25,1,10,142,1,25,25,25,10,125,25,10,8,63,45,25,25,25,10,25,48,45,25,1,63,2
141,10,9,10,56,21,21,22,3,21,10,21,10,136,10,9,10,3,6,21,10,10,3,3,3,10,3
4,4,49,4,52,4,52,4,49,4,50,6,122,49,50,51,50,4,6,60,4,4,50,4,4,49,4
140,35,2,2,35,44,44,52,17,51,5,5,140,5,35,5,35,5,12,52,35,35,35,5,5,16,5
121,141,6,141,6,20,20,66,3,141,51,6,141,6,141,6,53,121,6,6,6,6,6,121,6,136,6
7,63,29,29,7,7,7,7,7,7,7,50,7,49,7,6,7,7,7,7,7,7,7,7,63,7,7
10,25,10,10,25,8,8,54,54,7,10,10,25,8,25,10,25,54,8,54,127,25,25,54,10,25,8
32,9,9,9,9,23,20,27,0,23,9,12,9,9,9,9,9,34,46,22,10,44,9,34,9,9,9
53,142,9,10,10,48,1,127,127,1,128,22,10,141,127,127,127,127,46,127,127,127,10,127,127,10,10
11,11,11,11,11,11,11,11,11,11,11,11,11,42,11,11,11,11,11,11,11,11,11,11,11,11,11
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,12,11,12,12,12,12
102,102,144,13,144,102,13,44,125,13,13,13,13,13,102,102,13,125,27,102,13,13,102,125,13,13,13
14,14,145,14,14,52,14,1,145,14,14,14,14,14,14,14,14,127,54,1,14,14,14,127,14,14,14
40,24,24,24,24,35,40,46,3,125,45,43,34,40,34,24,24,115,46,61,125,14,125,115,41,34,15
14,14,14,14,14,6,3,6,69,6,145,45,35,35,145,16,14,65,46,6,1,14,16,65,16,35,16
12,35,140,1,154,12,12,12,12,12,140,140,42,12,1,42,42,51,42,12,42,35,1,51,127,1,17
42,12,42,12,42,140,42,42,140,42,42,140,42,42,150,42,140,42,42,42,42,42,42,42,140,42,18
129,19,19,19,129,19,149,19,19,19,129,19,19,140,19,19,19,115,149,149,19,19,19,115,19,19,19
20,59,58,138,137,58,66,58,66,139,60,20,20,66,20,58,20,20,139,58,137,20,20,20,20,137,20
56,69,3,3,69,68,69,56,62,56,69,3,69,62,69,3,3,36,32,3,3,3,3,36,3,3,21
61,58,22,22,22,23,22,22,22,23,61,22,22,22,22,22,22,61,123,22,22,22,22,61,22,22,22
23,23,23,23,23,23,22,23,22,22,23,23,23,23,23,23,23,22,22,23,23,23,23,22,23,23,23
24,62,24,142,62,36,24,24,24,24,67,71,71,147,24,24,150,65,54,24,142,142,62,65,65,62,24
44,10,9,10,10,25,45,1,68,18,25,21,25,44,10,25,25,25,10,25,25,25,25,25,25,10,25
26,26,26,26,26,26,26,26,26,26,26,26,26,39,26,26,26,115,41,26,41,41,26,115,26,39,26
32,48,44,9,27,27,8,57,121,18,25,44,27,44,48,25,27,57,6,25,45,45,27,57,45,27,27
28,25,45,10,10,47,28,28,25,47,28,45,28,128,28,25,25,28,53,28,28,28,25,28,25,25,28
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
30,30,30,30,30,30,30,55,30,30,30,30,30,30,30,30,30,21,30,30,30,30,30,21,30,30,30
31,31,31,31,41,31,31,31,31,31,31,31,31,31,31,31,31,39,128,31,24,150,31,39,31,31,31
32,32,32,32,32,32,32,25,25,32,32,32,32,25,32,32,32,25,25,32,32,32,32,25,32,32,32
33,33,33,33,33,33,33,110,33,33,33,33,33,127,33,33,33,52,151,33,33,18,33,52,33,33,33
64,64,64,64,64,64,64,64,64,64,36,64,64,64,64,24,64,64,64,64,64,64,64,64,64,64,34
64,13,64,64,40,16,16,64,64,16,36,64,36,64,36,64,64,39,64,16,5,36,64,39,64,5,35
24,125,36,125,36,141,46,125,46,141,47,24,125,41,125,125,125,127,41,46,127,127,36,127,127,36,36
66,24,34,24,2,141,38,141,141,141,24,0,24,127,150,24,24,124,46,61,142,0,125,124,127,24,37
41,24,41,24,24,41,34,41,41,41,24,36,34,38,24,41,24,41,24,41,41,41,24,41,41,24,38
0,31,44,70,2,18,2,31,52,2,39,31,39,31,39,39,39,124,2,2,27,27,39,124,41,39,39
25,125,24,24,36,127,34,52,17,125,24,36,24,6,125,24,125,62,46,127,127,127,24,62,127,24,40
3,45,125,45,22,25,51,127,66,10,45,22,45,25,125,23,36,127,141,61,127,127,45,127,127,45,41
42,42,147,150,147,109,109,42,138,109,42,42,42,42,109,42,42,109,42,109,147,42,147,109,147,109,42
43,129,118,43,129,118,129,19,129,129,43,118,43,118,129,129,129,118,129,129,140,118,129,118,140,118,43
126,48,44,44,44,18,150,73,73,151,151,18,44,145,44,48,48,73,73,150,150,129,42,73,129,44,44
25,25,25,25,10,1,25,1,25,25,25,25,25,127,25,25,25,25,28,25,25,25,25,25,25,25,45
23,123,123,53,53,46,141,22,46,141,141,46,46,22,123,123,46,127,46,141,123,123,141,127,46,46,46
48,47,47,47,47,47,8,8,8,8,47,8,47,8,47,47,47,8,8,8,47,47,47,8,8,47,47
25,48,25,25,25,48,48,8,25,48,48,25,48,25,25,25,48,28,28,48,48,48,25,28,48,48,48
29,49,51,49,4,51,53,4,53,50,50,4,51,51,49,50,51,53,29,50,49,50,50,53,4,49,49
4,4,4,4,4,53,121,50,7,53,50,4,54,122,4,4,4,4,46,4,4,4,4,4,4,4,50
124,4,4,4,4,53,53,50,53,53,51,51,50,53,4,4,4,53,53,53,51,4,4,53,4,4,51
54,4,52,4,52,53,54,4,4,53,4,124,54,52,52,122,52,54,124,4,54,52,122,54,124,52,52
46,53,46,46,46,46,124,46,46,127,53,127,46,127,53,46,46,46,46,53,46,127,53,46,46,46,53
7,7,54,66,7,6,6,6,6,4,7,49,7,7,7,7,7,6,141,60,66,66,54,6,7,54,54
143,143,110,143,55,110,120,73,73,11,55,99,55,143,110,55,55,112,55,73,110,143,110,112,55,55,55
56,56,56,56,56,56,69,67,56,110,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
25,68,57,57,57,57,57,63,57,57,57,25,57,25,57,57,68,25,150,57,57,57,68,25,68,57,57
58,103,58,58,103,58,103,103,61,58,58,58,103,59,103,103,103,59,103,58,58,58,103,59,58,58,58
58,59,58,59,58,59,59,59,59,59,59,59,59,59,58,59,58,59,66,59,59,59,58,59,58,59,59
61,61,61,61,61,61,61,60,60,61,61,61,61,61,61,61,61,61,6,60,61,61,61,61,61,61,60
61,61,61,61,61,61,61,61,61,61,61,61,61,60,61,61,61,61,61,61,61,61,61,61,61,61,61
118,62,62,62,62,62,62,62,62,62,62,62,62,62,67,62,62,62,69,62,62,62,62,62,62,62,62
63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
142,1,125,1,1,18,46,21,141,141,142,28,1,44,145,1,125,141,46,53,142,1,145,141,142,125,65
45,142,45,45,67,142,25,6,141,1,125,125,45,142,67,141,45,127,61,141,67,67,45,127,24,67,67
25,142,1,142,142,25,32,127,46,32,142,25,10,25,142,127,25,25,46,25,10,10,45,25,142,142,68
140,11,2,69,69,2,2,150,22,56,137,151,1,147,2,2,151,56,11,2,39,39,69,56,69,11,69
2,37,35,2,2,122,141,69,22,141,22,37,37,42,34,2,24,22,38,69,150,150,37,22,6,34,70
141,141,141,141,141,46,141,122,46,141,22,141,9,141,141,141,141,122,142,142,22,22,127,122,142,122,71
68,10,141,20,141,67,141,68,32,22,127,125,72,41,9,127,127,24,23,61,10,127,9,24,127,127,72
73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
12,139,137,139,137,51,121,12,6,154,127,127,14,127,139,139,127,54,154,52,35,35,139,54,126,139,121
127,123,124,124,123,123,54,123,127,124,124,127,124,127,123,46,123,123,39,123,123,123,123,123,124,123,122
124,122,124,123,123,123,123,123,124,124,127,123,127,127,127,127,127,124,39,123,126,123,127,124,127,123,123
122,138,137,122,138,153,136,52,66,138,138,138,52,138,122,122,122,122,11,52,121,122,122,122,122,122,124
68,10,125,125,125,22,141,9,9,125,125,125,1,125,125,125,125,127,46,141,10,1,125,127,127,45,125
126,109,126,109,126,48,42,42,109,42,109,109,109,109,109,126,126,9,126,48,109,109,109,9,109,109,126
17,127,127,127,127,127,5,141,127,12,12,17,127,5,127,127,127,151,154,17,127,127,17,151,17,17,127
128,128,126,128,128,128,136,151,151,128,128,136,128,126,126,128,128,136,128,128,128,128,128,136,128,128,128
140,140,140,140,140,140,149,19,149,129,140,140,140,140,140,140,140,149,149,149,140,140,140,149,140,140,129
136,138,138,138,138,136,65,136,136,136,138,136,138,136,136,138,138,136,138,136,136,136,136,136,151,138,136
136,137,137,136,137,136,137,136,137,136,137,137,137,136,137,137,137,136,136,137,136,136,147,136,138,136,137
138,138,138,138,126,138,136,69,69,138,138,137,138,151,138,126,138,151,69,138,138,138,138,151,138,138,138
139,139,139,139,139,139,139,139,126,139,139,139,139,140,139,139,139,139,139,139,139,139,139,139,139,139,139
140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,129,140,140,140,140,140,140,140
123,151,61,141,141,61,22,120,113,123,141,137,141,141,141,141,141,113,143,151,61,137,137,113,141,137,141
68,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142
104,104,104,104,99,119,99,99,99,99,104,99,104,119,104,104,104,99,99,99,99,99,99,99,104,99,99
27,100,100,100,100,100,100,100,32,28,100,100,100,100,100,100,100,32,100,8,100,100,100,32,100,100,100
101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,126,101,101,101,101,101,126,101,101,101
102,102,102,102,102,102,102,102,102,109,102,102,102,102,102,102,102,109,42,102,102,102,102,109,102,102,102
103,103,109,103,103,103,103,23,103,103,103,103,103,103,103,103,103,9,61,103,103,109,103,9,103,103,103
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104
105,105,105,105,105,105,106,105,120,106,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106
107,107,107,107,107,107,107,107,114,107,107,107,107,107,107,107,107,107,114,107,107,107,107,107,107,107,107
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
58,109,109,109,109,103,9,48,102,109,109,109,109,103,109,109,109,28,101,103,103,58,109,28,109,109,109
111,110,111,111,110,73,111,110,110,110,110,110,110,110,110,110,110,99,111,111,110,110,110,99,110,111,110
111,111,111,114,114,111,111,114,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111
112,112,112,112,112,112,112,112,42,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112
113,113,113,113,113,113,113,120,113,113,113,113,113,113,113,113,113,113,114,113,113,113,113,113,113,113,113
114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114
115,116,116,116,115,116,116,115,116,115,115,116,115,115,115,115,115,116,115,116,116,116,116,116,116,115,115
116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116
117,117,117,117,117,26,117,39,117,117,117,117,117,117,117,117,117,26,117,117,117,117,117,26,117,117,117
118,118,118,118,118,118,118,118,43,118,118,118,118,118,118,118,118,43,144,118,118,118,118,43,118,118,118
119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,112,119,119,119,119,119,119,119,119
120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,114,42,143,143,143,114,114,143,143,143
145,145,145,144,144,145,63,145,63,42,69,42,144,42,145,145,145,52,63,145,145,11,11,52,11,16,144
11,12,35,153,144,153,153,153,105,153,153,12,145,145,12,153,153,153,73,153,153,153,153,153,153,153,145
140,140,139,139,152,140,61,140,149,140,60,140,66,140,150,67,66,129,140,140,60,60,140,129,66,66,149
150,150,150,150,150,150,150,150,150,139,147,150,150,126,150,150,150,150,150,139,150,150,150,150,147,150,150
151,138,151,151,151,128,136,54,151,151,151,136,126,122,138,151,151,151,151,151,138,138,126,151,136,138,151
24,125,0,125,125,1,1,24,24,1,125,1,24,36,125,0,24,125,127,1,125,1,62,125,0,125,0
28,1,1,1,1,10,10,127,61,10,1,1,1,42,1,1,1,127,141,1,25,1,1,127,1,1,1
68,3,3,3,3,3,3,62,64,3,9,3,32,27,3,3,3,3,20,3,23,23,3,3,3,3,3
49,52,52,4,4,4,52,4,49,4,4,121,52,52,4,4,4,4,52,4,4,4,4,4,4,52,4
17,35,5,154,35,52,17,35,5,141,17,51,17,5,35,5,5,125,46,141,35,35,154,125,5,35,5
141,46,46,46,32,46,61,61,17,141,126,141,32,141,54,51,6,61,46,61,141,141,46,61,6,46,6
7,7,7,7,7,7,7,7,7,7,7,7,7,141,7,7,7,7,7,61,7,7,7,7,7,7,7
28,8,150,8,8,8,8,8,100,25,25,28,25,8,25,8,25,48,45,8,8,48,8,48,8,28,8
52,53,53,9,9,22,22,61,20,61,9,53,9,51,52,52,52,22,12,61,9,9,9,22,9,9,9
53,9,10,9,25,141,46,46,141,141,10,32,10,127,25,127,10,141,141,141,25,32,10,141,9,25,10
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
0,0,0,0,0,0,64,0,24,0,0,0,0,41,0,0,0,24,24,0,64,0,0,24,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,44,1,1,1,1,1,1,1,1,1,1,44,1,1
2,2,2,2,2,2,2,2,37,2,37,2,2,43,37,37,2,2,37,2,37,2,2,2,2,2,2
4,4,3,3,51,52,3,122,151,4,3,3,3,3,3,3,3,151,151,4,4,52,4,151,69,4,3
4,4,4,4,4,4,52,4,4,4,4,4,4,52,4,4,4,52,4,4,4,4,4,52,4,4,4
17,17,5,17,17,52,52,52,52,35,17,17,17,5,17,17,17,52,42,17,17,5,5,52,17,17,5
46,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
9,9,9,9,9,9,9,9,2,9,9,9,9,9,10,9,9,9,0,9,9,9,9,9,9,10,9
10,10,10,10,10,10,25,10,10,10,25,10,10,8,25,10,10,10,72,10,48,25,10,10,25,25,10
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
13,13,13,13,13,13,13,13,18,13,13,13,13,13,13,13,13,18,13,13,13,13,13,18,13,13,13
14,14,14,14,14,21,21,21,14,21,14,14,14,14,14,14,14,21,21,21,14,14,14,21,14,14,14
15,15,15,15,15,15,15,15,15,15,144,15,11,144,15,15,15,15,144,13,15,15,11,15,11,15,15
16,16,16,16,16,16,16,16,16,0,16,16,16,16,16,16,16,65,35,16,16,16,16,65,16,16,16
17,149,5,149,21,5,17,42,5,139,17,17,17,42,149,149,17,21,139,17,17,17,149,21,17,17,17
18,18,18,18,18,18,33,18,18,18,18,18,18,18,33,18,18,18,55,18,33,33,33,18,18,33,18
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
21,21,21,21,21,14,35,21,21,1,21,21,21,21,21,21,21,21,46,6,21,21,44,21,21,21,21
22,22,22,22,22,23,22,22,22,22,22,22,22,22,22,22,22,22,23,22,22,22,22,22,22,22,22
